Date,Event Name,Location,Time,Link,Notes,Category,Kid Friendly,Physical Activity,Alcohol Served/Likely,Cost / Ticketing,Planning Context
"Wednesday, July 1, 2026",Movies on the Beach Tahoe City,"Commons Beach, Tahoe City",8:00 PM / dusk,https://laketahoetravel.com/events/,Added missing July 1 event.,Outdoor movie / Family entertainment,Yes,No - mostly seated,No / not central to event,Likely free,Bring blankets or low chairs; outdoor movie timing depends on dusk and weather.
"Wednesday, July 1, 2026",Music in the Park: Sonido Sueno,Truckee Regional Park,6:30 PM - 8:30 PM,https://www.visittruckeetahoe.com/things-to-do/events/music-in-the-park,Added missing July 1 event.,Live music / Concert,Yes,No - mostly seated/standing,Possible nearby; not central to event,Free,Outdoor or venue-based live music; bring layers for cool evenings and verify seating rules.
"Thursday, July 2, 2026",Tahoe City Farmers Market,"Commons Beach, Tahoe City",8:00 AM - 1:00 PM,https://www.tahoecityfarmersmarket.com/,Added missing July 2 market.,Market / Food / Shopping,Yes,Light - walking/standing,No / not central to event,Free to attend; purchases extra,"Casual outdoor market with produce, prepared foods, vendors, and a community feel."
"Thursday, July 2, 2026",Open Mic Poetry Night,"Tahoe Wine Collective, Boatworks Mall",5:30 PM - 7:30 PM,https://laketahoetravel.com/events/,Added missing July 2 recurring event.,Arts / Spoken word,Mixed / adult-leaning,No - seated/standing,Yes - wine venue,Unknown / check source,Small-format open mic at a wine venue; better for adults or older teens.
"Thursday, July 2, 2026",Tahoe Music Alive presents The Dolphins Quartet,North Tahoe Hebrew Congregation,4:00 PM - 6:00 PM,https://laketahoetravel.com/events/,Added missing July 2 event.,Live music / Concert,Yes,No - mostly seated/standing,No / not central to event,Unknown / check source,"Classical/chamber-style music event; check the presenter for tickets, seating, and program details."
"Thursday, July 2, 2026",Summerfest,University of Nevada Reno at Lake Tahoe Campus,4:00 PM - 7:00 PM,https://laketahoetravel.com/events/,Added missing July 2 nearby event.,Community / Fundraiser / Festival,Likely,Light - walking/standing,Possible / check source,Unknown / check source,Community gathering; verify ticketing and programming with the event source.
"Thursday, July 2, 2026",Local Heroes 4th of July Celebration,"Various venues, Incline Village",See source schedule,https://laketahoetravel.com/events/,Added missing holiday-week event.,Holiday / Community festival,Yes,Light - walking/crowds,Varies by venue,Free or mixed; check source schedule,"Holiday programming may include multiple venues, crowds, closures, and changing schedules."
"Friday, July 3, 2026",Tahoe City 4th of July Celebrations,"Various venues, Tahoe City",See source schedule,https://laketahoetravel.com/events/,Added missing holiday-week event.,Holiday / Community festival,Yes,Light - walking/crowds,Varies by venue,Free or mixed; check source schedule,"Holiday programming may include multiple venues, crowds, closures, and changing schedules."
"Friday, July 3, 2026",Local Heroes 4th of July Celebration,"Various venues, Incline Village",8:00 AM - 6:00 PM,https://laketahoetravel.com/events/,Added missing holiday-week event.,Holiday / Community festival,Yes,Light - walking/crowds,Varies by venue,Free or mixed; check source schedule,"Holiday programming may include multiple venues, crowds, closures, and changing schedules."
"Friday, July 3, 2026",Music on the Beach,Kings Beach State Recreation Area,6:00 PM - 8:30 PM,https://laketahoetravel.com/events/,Added missing July 3 concert.,Live music / Concert,Yes,No - mostly seated/standing,Possible nearby; not central to event,Free,Outdoor or venue-based live music; bring layers for cool evenings and verify seating rules.
